FID;Clasificac;Total_Diss;DIC_mg_L;DOC_mg_L;NH_4_ug_L;NH_4_mg_L;NO2_ug_L;NO2_mg_L;As_ug_L;Fe_ug_L;Hg_ug_L;Mn_ug_L;Pb_ug_L;NO3_mg_L;Cl_mg_L;Fl_mg_L;SO4_mg_L;Na_mg_L;Mg_mg_L;K_mg_L;Ca_mg_L;HCO3_mg_L;EC_uS_cm;pH;Temperatur;O2_%;O2_mg_L;ORP;TDS_ppm;18O;SD;2H;SD_1;dexcess;180;15N;Land_Use;Type;Altitude
28;Site02;13.11;4.49;8.62;35.6;0.036;3.9;0.0039;0.061;14.1;1.35;4.5;0.166;30.18;10.39;< 0,185;8.55;8.311;7.825;2.606;22.583;85.3;171;7.02;25.8;49;4.07;275;85;-8.72;0.05;-61.79;0.3;8;-10.9;9.93;Urban;Well;890
29;Site05;12.14;11.6;0.53;30.14;0.03;11.96;0.012;0.58;40.7;4.18;13.8;0.202;9.68;9.89;< 0,62;27.35;6.927;10.316;3.17;17.964;76.6;138;6.51;21.8;80.1;6.55;114;69;-8.62;0.1;-62.23;0.16;6.72;-5.1;1.95;Agriculture;Well;1290.7
30;Site05;14.56;13.06;1.51;24.79;0.025;8.89;0.0089;1.45;20.1;3.2;8.7;0.247;3.9;10.34;< 0,62;24.16;11.015;11.92;4.705;14.97;97.4;168;6.77;22.1;80;6.41;227;84;-9.22;0.05;-64.73;0.2;8.99;0;0;Urban;Well;929.7
31;Site03;18.22;16.7;1.53;26.24;0.026;7.75;0.0078;1.54;19.7;3.55;9;0.341;4.25;19.33;< 0,62;38.37;15.908;17.743;6.492;18.426;123.5;234;6.9;22.6;65.4;6.7;218;116;0;0;0;0;0;0;0;Urban;Well;933.3
32;Site02;15.25;14.67;0.58;23.3;0.023;14.8;0.0148;0.135;16;3.76;8.8;0.339;4.49;2.35;< 0,62;4.12;4.155;5.753;2.176;10.306;68.4;87;6.51;14.4;79.1;6.85;270;43;-9.27;0.04;-63.56;0.16;10.56;0;0;Forest and pasture;Spring;1672.3
33;Site02;12.55;11.74;0.82;24.68;0.025;27.65;0.0276;0.346;32.9;2.26;8.18;0.309;1.17;1.43;< 0,62;3.69;4.244;4.323;2.839;8.282;62.1;71;6.72;18;77.6;7.53;264;36;-7.91;0.09;-51.42;0.39;11.84;0;0;Forest and pasture;Spring;1680.1
34;Site02;18.16;16.87;1.29;33.45;0.033;3.9;0.0039;0.147;16;2.89;6.29;0.642;34.84;9.53;< 0,62;8.75;7.919;9.461;4.24;26.516;102.7;164;6.78;22.4;72.6;6.2;461;82;-7.82;0.05;-51.93;0.39;10.62;-16.6;11.4;Urban;Well;974.7
35;Site03;10.09;6.39;3.7;38.91;0.039;2.99;0.003;0.88;23.9;2.3;6.03;0.418;7.88;11.98;< 0,62;10.11;13.833;10.001;5.872;15.615;115.4;171;6.87;23.5;78.8;6.39;288;85;-8.43;0.07;-59.93;0.33;7.49;0;0;Urban;Well;844.2
36;Site05;11.42;0.03;11.39;48.01;0.048;3.32;0.0033;1;17;2.96;7.46;0.171;9.67;15.93;< 0,62;22.57;17.283;12.793;5.724;17.196;119.5;198;6.77;23.7;79.6;6.27;281;99;-7.88;0.06;-50.7;0.43;12.33;0;0;Urban;Well;838.6
37;Site05;15.61;14.38;1.23;26.5;0.027;12.19;0.0122;1.3;13.8;3.5;7.98;0.297;5.9;12.03;< 0,62;26.96;11.797;13.093;4.796;17.223;110.2;185;6.7;22.9;80.9;7.3;237;93;-8.54;0.06;-55.95;0.37;12.33;0;0;Urban;Well;831.6
38;Site06;20.97;19.37;1.6;22.15;0.022;6.61;0.0066;0.5;121;2.84;10.8;0.661;20.17;8.95;< 0,62;6.51;10.208;10.88;4.626;20.946;121.2;183;6.63;22.1;85.5;7.28;222;91;-9.66;0.08;-65.23;0.42;12.02;0;0;Urban;Well;877.2
39;Site05;15.05;13.67;1.37;23.52;0.024;7.07;0.0071;1.48;21.2;2.97;8.5;0.298;4.35;12.24;< 0,62;27.3;11.818;12.97;5.017;15.459;103.2;182;6.92;22;85.9;7.41;206;91;-8.49;0.07;-55.86;0.27;12.06;0;0;Urban;Well;930.7
40;Site03;17.91;16.48;1.43;26.34;0.026;6.96;0.007;2.42;665.7;3.1;10.5;1.27;3.65;18.16;< 0,62;35.09;19.399;14.716;6.542;16.465;123.5;226;7.17;23;83.7;6.34;184;113;-9.65;0.04;-65.84;0.31;11.38;0;0;Urban;Well;932.8
